Old	New
A1BG	A1BG
A1BG-AS1	A1BG-AS1
NCRNA00181	A1BG-AS1
A1BGAS	A1BG-AS1
A1BG-AS	A1BG-AS1
A1CF	A1CF
A2M	A2M
A2M-AS1	A2M-AS1
A2ML1	A2ML1
CPAMD9	A2ML1
A2ML1-AS1	A2ML1-AS1
A2ML1-AS2	A2ML1-AS2
A2MP1	A2MP1
A2MP	A2MP1
A3GALT2	A3GALT2
A3GALT2P	A3GALT2
A4GALT	A4GALT
P1	A4GALT
A4GNT	A4GNT
AAAS	AAAS
AACS	AACS
AACSP1	AACSP1
AACSL	AACSP1
AADAC	AADAC
AADACL2	AADACL2
AADACL2-AS1	AADACL2-AS1
AADACL3	AADACL3
AADACL4	AADACL4
AADACP1	AADACP1
AADAT	AADAT
AAGAB	AAGAB
AAK1	AAK1
AAMDC	AAMDC
C11orf67	AAMDC
AAMP	AAMP
AANAT	AANAT
AAR2	AAR2
C20orf4	AAR2
AARD	AARD
C8orf85	AARD
AARS1	AARS1
AARS	AARS1
AARS1P1	AARS1P1
AARSP1	AARS1P1
AARS2	AARS2
AARSL	AARS2
AARSD1	AARSD1
AARSD1P1	AARSD1P1
AASDH	AASDH
AASDHPPT	AASDHPPT
AASS	AASS
AATBC	AATBC
AATF	AATF
AATK	AATK
AAVS1	AAVS1
ABALON	ABALON
ABAT	ABAT
ABCA1	ABCA1
ABC1	ABCA1
HDLDT1	ABCA1
ABCA2	ABCA2
ABC2	ABCA2
ABCA3	ABCA3
ABC3	ABCA3
ABCA3P1	ABCA3P1
ABCA4	ABCA4
STGD1	ABCA4
ABCR	ABCA4
RP19	ABCA4
STGD	ABCA4
ABCA5	ABCA5
ABCA6	ABCA6
ABCA7	ABCA7
ABCA8	ABCA8
ABCA9	ABCA9
ABCA9-AS1	ABCA9-AS1
ABCA10	ABCA10
ABCA11P	ABCA11P
ABCA11	ABCA11P
ABCA12	ABCA12
ICR2B	ABCA12
ABCA13	ABCA13
ABCA15P	ABCA15P
NCRNA00169	ABCA15P
CRYM-AS1	ABCA15P
ABCA17P	ABCA17P
ABCB1	ABCB1
PGY1	ABCB1
MDR1	ABCB1
CLCS	ABCB1
ABCB4	ABCB4
PGY3	ABCB4
MDR3	ABCB4
ABCB5	ABCB5
ABCB6	ABCB6
ABCB7	ABCB7
ABC7	ABCB7
ABCB8	ABCB8
ABCB9	ABCB9
ABCB10	ABCB10
ABCB10P1	ABCB10P1
ABCB10P	ABCB10P1
ABCB10P2	ABCB10P1
ABCB10P3	ABCB10P3
ABCB10P4	ABCB10P4
ABCB11	ABCB11
BSEP	ABCB11
PFIC2	ABCB11
ABCC1	ABCC1
MRP	ABCC1
MRP1	ABCC1
ABCC2	ABCC2
CMOAT	ABCC2
ABCC3	ABCC3
ABCC4	ABCC4
ABCC5	ABCC5
ABCC5-AS1	ABCC5-AS1
ABCC6	ABCC6
ARA	ABCC6
PXE	ABCC6
ABCC6P1	ABCC6P1
ABCC6P2	ABCC6P2
ABCC8	ABCC8
SUR	ABCC8
HRINS	ABCC8
ABCC9	ABCC9
ABCC10	ABCC10
ABCC11	ABCC11
ABCC12	ABCC12
ABCC13	ABCC13
ABCD1	ABCD1
ALD	ABCD1
ABCD1P1	ABCD1P1
ABCD1P2	ABCD1P2
ABCD1P3	ABCD1P3
ABCD1P4	ABCD1P4
ABCD1P5	ABCD1P5
ABCD2	ABCD2
ALDL1	ABCD2
ABCD3	ABCD3
PXMP1	ABCD3
ABCD4	ABCD4
PXMP1L	ABCD4
ABCE1	ABCE1
RNASEL1	ABCE1
RNASELI	ABCE1
RNS4I	ABCE1
ABCF1	ABCF1
ABC50	ABCF1
ABCF1-DT	ABCF1-DT
ABCF2	ABCF2
ABCF2-H2BK1	ABCF2-H2BK1
ABCF2-H2BE1	ABCF2-H2BK1
ABCF2P1	ABCF2P1
ABCF2P2	ABCF2P2
ABCF3	ABCF3
